timestamp,tag,value,quality
2026-06-06 00:00:00,TIS1.20II0105.PV,284.37,GOOD
2026-06-06 01:00:00,TIS1.20II0105.PV,291.95,GOOD
2026-06-06 02:00:00,TIS1.20II0105.PV,283.12,GOOD
2026-06-06 03:00:00,TIS1.20II0105.PV,283.7,GOOD
2026-06-06 04:00:00,TIS1.20II0105.PV,290.19,GOOD
2026-06-06 05:00:00,TIS1.20II0105.PV,281.5,GOOD
2026-06-06 06:00:00,TIS1.20II0105.PV,297.14,GOOD
2026-06-06 07:00:00,TIS1.20II0105.PV,306.23,GOOD
2026-06-06 08:00:00,TIS1.20II0105.PV,288.82,GOOD
2026-06-06 09:00:00,TIS1.20II0105.PV,309.6,GOOD
2026-06-06 10:00:00,TIS1.20II0105.PV,305.27,GOOD
2026-06-06 11:00:00,TIS1.20II0105.PV,312.73,GOOD
2026-06-06 12:00:00,TIS1.20II0105.PV,306.91,GOOD
2026-06-06 13:00:00,TIS1.20II0105.PV,309.46,GOOD
2026-06-06 14:00:00,TIS1.20II0105.PV,308.21,GOOD
2026-06-06 15:00:00,TIS1.20II0105.PV,303.44,GOOD
2026-06-06 16:00:00,TIS1.20II0105.PV,296.41,GOOD
2026-06-06 17:00:00,TIS1.20II0105.PV,291.0,GOOD
2026-06-06 18:00:00,TIS1.20II0105.PV,292.72,GOOD
2026-06-06 19:00:00,TIS1.20II0105.PV,292.99,GOOD
2026-06-06 20:00:00,TIS1.20II0105.PV,298.65,GOOD
2026-06-06 21:00:00,TIS1.20II0105.PV,288.22,GOOD
2026-06-06 22:00:00,TIS1.20II0105.PV,285.77,GOOD
2026-06-06 23:00:00,TIS1.20II0105.PV,281.22,GOOD
2026-06-06 00:00:00,TIS1.20VI0106.PV,2.62,GOOD
2026-06-06 01:00:00,TIS1.20VI0106.PV,2.62,GOOD
2026-06-06 02:00:00,TIS1.20VI0106.PV,2.58,GOOD
2026-06-06 03:00:00,TIS1.20VI0106.PV,2.88,GOOD
2026-06-06 04:00:00,TIS1.20VI0106.PV,2.55,GOOD
2026-06-06 05:00:00,TIS1.20VI0106.PV,2.58,GOOD
2026-06-06 06:00:00,TIS1.20VI0106.PV,2.43,GOOD
2026-06-06 07:00:00,TIS1.20VI0106.PV,2.49,GOOD
2026-06-06 08:00:00,TIS1.20VI0106.PV,2.23,GOOD
2026-06-06 09:00:00,TIS1.20VI0106.PV,2.67,GOOD
2026-06-06 10:00:00,TIS1.20VI0106.PV,2.47,GOOD
2026-06-06 11:00:00,TIS1.20VI0106.PV,2.51,GOOD
2026-06-06 12:00:00,TIS1.20VI0106.PV,2.69,GOOD
2026-06-06 13:00:00,TIS1.20VI0106.PV,2.58,GOOD
2026-06-06 14:00:00,TIS1.20VI0106.PV,2.74,GOOD
2026-06-06 15:00:00,TIS1.20VI0106.PV,2.73,GOOD
2026-06-06 16:00:00,TIS1.20VI0106.PV,2.33,GOOD
2026-06-06 17:00:00,TIS1.20VI0106.PV,2.89,GOOD
2026-06-06 18:00:00,TIS1.20VI0106.PV,2.86,GOOD
2026-06-06 19:00:00,TIS1.20VI0106.PV,2.65,GOOD
2026-06-06 20:00:00,TIS1.20VI0106.PV,2.44,GOOD
2026-06-06 21:00:00,TIS1.20VI0106.PV,2.52,GOOD
2026-06-06 22:00:00,TIS1.20VI0106.PV,2.37,GOOD
2026-06-06 23:00:00,TIS1.20VI0106.PV,2.84,GOOD
2026-06-06 00:00:00,TIS1.20II0205.PV,306.83,GOOD
2026-06-06 01:00:00,TIS1.20II0205.PV,289.35,GOOD
2026-06-06 02:00:00,TIS1.20II0205.PV,288.68,GOOD
2026-06-06 03:00:00,TIS1.20II0205.PV,293.34,GOOD
2026-06-06 04:00:00,TIS1.20II0205.PV,305.96,GOOD
2026-06-06 05:00:00,TIS1.20II0205.PV,306.81,GOOD
2026-06-06 06:00:00,TIS1.20II0205.PV,316.27,GOOD
2026-06-06 07:00:00,TIS1.20II0205.PV,310.94,GOOD
2026-06-06 08:00:00,TIS1.20II0205.PV,309.43,GOOD
2026-06-06 09:00:00,TIS1.20II0205.PV,319.03,GOOD
2026-06-06 10:00:00,TIS1.20II0205.PV,320.96,GOOD
2026-06-06 11:00:00,TIS1.20II0205.PV,305.51,GOOD
2026-06-06 12:00:00,TIS1.20II0205.PV,314.44,GOOD
2026-06-06 13:00:00,TIS1.20II0205.PV,318.31,GOOD
2026-06-06 14:00:00,TIS1.20II0205.PV,314.33,GOOD
2026-06-06 15:00:00,TIS1.20II0205.PV,304.3,GOOD
2026-06-06 16:00:00,TIS1.20II0205.PV,301.35,GOOD
2026-06-06 17:00:00,TIS1.20II0205.PV,312.77,GOOD
2026-06-06 18:00:00,TIS1.20II0205.PV,314.33,GOOD
2026-06-06 19:00:00,TIS1.20II0205.PV,318.37,GOOD
2026-06-06 20:00:00,TIS1.20II0205.PV,312.83,GOOD
2026-06-06 21:00:00,TIS1.20II0205.PV,302.28,GOOD
2026-06-06 22:00:00,TIS1.20II0205.PV,302.14,GOOD
2026-06-06 23:00:00,TIS1.20II0205.PV,295.16,GOOD
2026-06-06 00:00:00,TIS1.20VI0206.PV,2.05,GOOD
2026-06-06 01:00:00,TIS1.20VI0206.PV,2.24,GOOD
2026-06-06 02:00:00,TIS1.20VI0206.PV,2.03,GOOD
2026-06-06 03:00:00,TIS1.20VI0206.PV,2.29,GOOD
2026-06-06 04:00:00,TIS1.20VI0206.PV,2.32,GOOD
2026-06-06 05:00:00,TIS1.20VI0206.PV,2.15,GOOD
2026-06-06 06:00:00,TIS1.20VI0206.PV,2.11,GOOD
2026-06-06 07:00:00,TIS1.20VI0206.PV,2.48,GOOD
2026-06-06 08:00:00,TIS1.20VI0206.PV,1.97,GOOD
2026-06-06 09:00:00,TIS1.20VI0206.PV,2.48,GOOD
2026-06-06 10:00:00,TIS1.20VI0206.PV,2.17,GOOD
2026-06-06 11:00:00,TIS1.20VI0206.PV,2.0,GOOD
2026-06-06 12:00:00,TIS1.20VI0206.PV,1.99,GOOD
2026-06-06 13:00:00,TIS1.20VI0206.PV,2.28,GOOD
2026-06-06 14:00:00,TIS1.20VI0206.PV,2.18,GOOD
2026-06-06 15:00:00,TIS1.20VI0206.PV,2.62,GOOD
2026-06-06 16:00:00,TIS1.20VI0206.PV,2.55,GOOD
2026-06-06 17:00:00,TIS1.20VI0206.PV,2.56,GOOD
2026-06-06 18:00:00,TIS1.20VI0206.PV,1.88,GOOD
2026-06-06 19:00:00,TIS1.20VI0206.PV,2.03,GOOD
2026-06-06 20:00:00,TIS1.20VI0206.PV,1.99,GOOD
2026-06-06 21:00:00,TIS1.20VI0206.PV,2.38,GOOD
2026-06-06 22:00:00,TIS1.20VI0206.PV,2.14,GOOD
2026-06-06 23:00:00,TIS1.20VI0206.PV,2.06,GOOD
2026-06-06 00:00:00,TIS1.20II0310.PV,46.97,GOOD
2026-06-06 01:00:00,TIS1.20II0310.PV,47.33,GOOD
2026-06-06 02:00:00,TIS1.20II0310.PV,46.99,GOOD
2026-06-06 03:00:00,TIS1.20II0310.PV,48.98,GOOD
2026-06-06 04:00:00,TIS1.20II0310.PV,47.54,GOOD
2026-06-06 05:00:00,TIS1.20II0310.PV,48.07,GOOD
2026-06-06 06:00:00,TIS1.20II0310.PV,48.56,GOOD
2026-06-06 07:00:00,TIS1.20II0310.PV,47.62,GOOD
2026-06-06 08:00:00,TIS1.20II0310.PV,51.7,GOOD
2026-06-06 09:00:00,TIS1.20II0310.PV,49.98,GOOD
