lote,pulper,fecha,inicio,duracion_min,kg_cargados,kwh,material
L-20260730-P1-01,P1,2026-07-30,06:00,44.9,5755,466.1,archivo_blanco
L-20260730-P1-02,P1,2026-07-30,06:51,49.4,6024,471.4,archivo_blanco
L-20260730-P1-03,P1,2026-07-30,07:47,52.0,5767,516.8,periodico
L-20260730-P1-04,P1,2026-07-30,08:50,54.0,5878,530.0,periodico
L-20260730-P1-05,P1,2026-07-30,09:50,59.4,6264,543.4,periodico
L-20260730-P1-06,P1,2026-07-30,11:00,56.4,6023,550.2,periodico
L-20260730-P1-07,P1,2026-07-30,12:03,45.7,5997,496.1,archivo_blanco
L-20260730-P1-08,P1,2026-07-30,12:58,48.0,5773,471.9,archivo_blanco
L-20260730-P1-09,P1,2026-07-30,13:52,53.9,6041,534.6,periodico
L-20260730-P1-10,P1,2026-07-30,14:56,46.2,5803,469.2,archivo_blanco
L-20260730-P1-11,P1,2026-07-30,15:48,48.4,5895,460.8,archivo_blanco
L-20260730-P1-12,P1,2026-07-30,16:48,49.8,5651,453.2,archivo_blanco
L-20260730-P1-13,P1,2026-07-30,17:44,46.4,5953,464.6,archivo_blanco
L-20260730-P1-14,P1,2026-07-30,18:39,45.9,5769,457.5,archivo_blanco
L-20260730-P1-15,P1,2026-07-30,19:37,50.4,5819,526.9,periodico
L-20260730-P1-16,P1,2026-07-30,20:36,46.7,5955,480.1,archivo_blanco
L-20260730-P1-17,P1,2026-07-30,21:35,49.3,6047,529.1,periodico
L-20260730-P1-18,P1,2026-07-30,22:30,52.3,5869,510.9,periodico
L-20260730-P2-01,P2,2026-07-30,06:00,54.7,5677,497.0,periodico
L-20260730-P2-02,P2,2026-07-30,07:04,48.3,5803,462.5,archivo_blanco
L-20260730-P2-03,P2,2026-07-30,08:02,52.3,5753,487.1,periodico
L-20260730-P2-04,P2,2026-07-30,09:00,47.8,5696,506.6,periodico
L-20260730-P2-05,P2,2026-07-30,10:00,46.3,5741,459.0,archivo_blanco
L-20260730-P2-06,P2,2026-07-30,10:58,42.6,5842,449.7,archivo_blanco
L-20260730-P2-07,P2,2026-07-30,11:51,47.7,5844,489.3,recorte_mixto
L-20260730-P2-08,P2,2026-07-30,12:48,52.2,5990,524.2,periodico
L-20260730-P2-09,P2,2026-07-30,13:51,48.3,5841,489.4,recorte_mixto
L-20260730-P2-10,P2,2026-07-30,14:52,47.2,5817,460.2,archivo_blanco
L-20260730-P2-11,P2,2026-07-30,15:48,52.6,5898,502.8,recorte_mixto
L-20260730-P2-12,P2,2026-07-30,16:47,48.5,5637,469.9,recorte_mixto
L-20260730-P2-13,P2,2026-07-30,17:42,52.0,6043,518.8,recorte_mixto
L-20260730-P2-14,P2,2026-07-30,18:45,53.5,5874,523.0,periodico
L-20260730-P2-15,P2,2026-07-30,19:47,55.7,5463,472.1,periodico
L-20260730-P2-16,P2,2026-07-30,20:53,47.9,5800,500.7,recorte_mixto
L-20260730-P2-17,P2,2026-07-30,21:48,47.6,5720,431.6,archivo_blanco
L-20260730-P2-18,P2,2026-07-30,22:43,46.9,5870,468.1,archivo_blanco
L-20260730-P2-19,P2,2026-07-30,23:41,45.1,5878,465.6,archivo_blanco
