fecha,punto,rms_mm_s,gE,zona_iso
2026-06-03,Motor pulper 1 · lado libre · axial,2.44,0.46,A
2026-06-03,Motor pulper 2 · lado libre · axial,2.71,0.75,A
2026-06-03,Agitador tina 1 · lado transmision · horizontal,2.35,0.85,A
2026-06-03,Agitador tina 2 · lado transmision · horizontal,2.49,0.73,A
2026-06-03,Agitador tina 3 · lado transmision · horizontal,2.33,0.38,A
2026-06-03,Agitador tina 4 · lado transmision · horizontal,2.5,0.52,A
2026-06-03,Bomba de vacio 1 · lado acople · horizontal,2.52,0.68,A
2026-06-03,Bomba de vacio 2 · lado acople · horizontal,2.9,0.95,B
2026-06-03,Bomba de vacio 3 · lado acople · horizontal,2.43,0.55,A
2026-06-03,Fan pump · lado acople · horizontal,2.87,0.67,B
2026-06-03,Prensa de succion · muñon transmision · horizontal,2.93,0.55,B
2026-06-03,Reductor bobinadora · engrane salida · horizontal,2.47,0.89,A
